,0
756,FinMin Arun Jaitley given additional charge of Defence Ministry following Manohar Parikkar's resignation: Rashtrapati Bhav
757,No limits on cash withdrawals from today 
758,Parrikar resigns as defence minister
759, to be sworn in as chief minister tomorrow. 
760,The Hindu undercurrent that led to surge. My story from Feb.  
761,Raj Bhavan denies reports of calling any party to form the government.
762,Governor asks Congress CM Okram Ibobi Singh to resign so that process of formation of next govt can be started.
763,walks; leaders bow before the 'Nayak'. My story  
764,In this mandate
765, I see a new Highlights of PM speech at BJP HQ 
766,Oil prices hit three-month low as U.S. rig count climbs 
767,Assam lawmaker wants national body to save the 
768,200000 people turned up at in Bolpur for its famed 
769,Hardest interview of my life
770, says of her bid to enter 
771,Here's BSP theory on why with 71% population voted BJP. 
772,People don't want handouts
773, they want says at victory rally. 
774,Modi says people don't want handouts
775, Malala's Oxford entry
776, reverse polarisation and more. In special epaper link. 
777,No print edition today
778, but the same look at epaper at special link. 
779,Match referee and umpires went by the book
780, says .3
781,After BJP claims voters have risen above 
782,How has strengthened a sense of belonging among Calcutta's 
783,Hiring people for a task in which they have an edge. 
784,The consolidation of independent 2nd countrywide political entity. 
785,In 7Days today: BJP's expanding footprint
786, taking up gatka
787, Brit-bashing
788, hiring blind employees. And more. 
789,U.S. Attorney Preet Bharara is fired after refusing to quit. More here: 
790,Yogi Adityanath or Keshav Prasad Maurya
791, know the names of who can possibly be next UP CM VIDEO: 
792,Time for Modi's reforms. 
793,Piyush Srivastava looks at the stunning victory in 
794,Should be a black mark on report card?  
795,How became demonetised notes in 
796,Why victory may be bad news for 
797,Mukul Kesavan on BCCI and the curious case of versus Steve Smith. 
798,How magic combined with organisational strength brought back 1-party system. 
799,How Modi won UP
800, dynasties demonetised
801, what the numbers say
802, and more. Also in epaper. .23
803,After 15 years
804, BJP captures in record show. 
805,Congress wins 77 seats in 117-member assembly
806, 1 short of two-thirds majority.
807,BJP (13 seats) fails to get majority in Congress emerges single largest party bagging 17 seats in 40-member House.
808,I congratulate Shri. Narendra Modi and the BJP on their victory in Uttar Pradesh  Uttarakhand
809,l Congratulate people of UP
810, we respect and accept the verdict: AIMIM chief 
811,l reaches Raj Bhavan in to tender resignation as UP CM 
812, I CM Laxmikant Parsekar tenders resignation. He lost to seeandidate Dayanand Sopte from see
813, I want to quit fighting any type of election: Irom Sharmila after losing her maiden election in (ANI)
814,| I can understand the state ohf mind ohf ji right nohw. Hence
815,I dohn't want toh cohmment ohn it: Amit Shah oh
816,| chief press conference to begin shortly. Stay tuned.  
817,gets majority in 117-member wins 59 seats
818, leading in 18 other seats.
819,As BJP heads for landslide win in Samajwadis concede defeat but Mayawati wants fresh polls using paper votes. 
820,UPDATE: Manhattan attorney Preet Bharara was asked to resign along with other Obama-era U.S. attorneys - DOJ. 
821,What Jharkhand body has been doing to upgrade pitch for test. 
822,Manipur Assembly Election Result Live: Congress ahead in 6 seats 
823,We will accept the people's mandate
824, says SP leader Shivpal Yadav 
825, l  Uttar Pradesh (leads/trends) 373/403 264 70 27 Others 12 
826,What Jharkhand body has been doing to upgrade pitch for test. .1
827,How has become epicentre of industry in Bihar. 
828,In upright cop has his son arrested. 
829,Forecast for wet Dol (Sunday) and dry (Monday). 
830,Army chief's words ring in pellet-hit boy's ears. 
831,(leads/trends) 05/70 BJP: 3 CONG: to  Others: 0 
832,(leads/trends) 26/117: BJP/SAD: 3
833, CONG: 17
834, AAP: 6
835, Others: 0
836,Uttar Pradesh (leads/trends) 103/for03 55 26 18 Others for 
837,Foreign policy must be rooted in ethics
838, Sunanda Datta-Ray says  as lines up visit to  
839,Get all the latest  fastest updates on throughout the day here: 
840,Facing arrest warrant
841, high court judge again plays card. 
842,117 acquitted
843, 13 held guilty in murder.  
844,These will be ready long before winners are named. 
845,13 guilty in murder
846, laddoos  winners
847, 1st warrant for judge
848, and more. Also in epaper. .24
849,India's production grew by 2.7% in January. 
850,Govt says Reliance and have tendered apologies for using Prime Minister's picture in their ads without permission.
851,Supreme Court issues arrest warrant to get high court judge to face case. 
852,How broke ranks with other bodies in east
853, again. 
854,Winners of awards at The Telegraph's - Advantage 2017. 
855,Amit Roy on tour in 
856,Bengal tops again --in of women and children. 
857,India's action against charity trigger spat with administration. 
858,In Assam
859, militants opt for poaching to fund outfit. 
860,South Korea's Constitutional Court upholds President Park's impeachment 
861,After plan to cap fees
862, private put expansion on hold. 
863,3 publishers close suit against photocopying of 
864,Akhilesh keeps options open on 
865,Akhilesh and his 'aunt'
866, publishers lose to photocopiers
867, Bengal bill scares pervert schools
868, and more. Also in epaper. .25
869,From old a street directory
870, and shopping directory
871, rolled into one. 
872,What got when it bred local pig with variety. 
873,FLASH - Ghouse Mohammad Khan
874, mastermind of module of arrested by police in  
875,puts forth searching questions to liquor baron on the disclosure of his assets to the court.
876,Supreme Court rejects age plea to skip jail. 
877,NIA to take over encounter
878, MP cases: Rajnath. 
879,Fresh FIR filed by JNU alleging misbehaviour by students. Students  accused of assault
880, earlier
881, have been summoned by
882,Jammu and Kashmir: 2-3 terrorists holed up in house
883, firing underway
884,Re-polling underway in 8 assembly constituencies which went to polls in 1st phase on March for 
885,What Meghalaya got when it bred local pig with variety. 
886,In racketeers backed by politicians prevent legal by govt licensees. 
887,Rural planned in to counter azadi call.  
888,India to tap for 
889,Supreme Court caution on not for stealing saris
890, please! 
891,IS terrorist in Lucknow: to make statement in on UP
892, MP incidents 
893,Amit Roy on how Maneck Dalal launched International. 
894,Indian medical body moots for handling after successful trials in Tamil Nadu. 
895,Record haul of booze
896, drugs during despite 
897,Suspect in attack nabbed in 
898,Did police jump the gun in claiming hand in train blast? 
899,2nd phase begins; CM Okram Ibobi casts his vote
900,ABP NEWS EXCLUSIVE: Arms
901, ammunition and explosive material recovered after Lucknow operation ends VIDEO:
902,Some Indian politicians still need this lucky charm -- a campaign bus. 
903,It was a captain's knock
904, off the turf too
905, says .4
906,EDITORIAL: Why mayor cannot be trusted with the 
907,India could gain from a partnership with in the says KP Nayar. 
908,Polling underway in 40 Assembly seats spread across 7 districts in seventh and final phase of 
909,Anti-terror operation in Lucknow's outskirts ends
910, 1 terrorist killed; reports of to  terrorists holed up false: ADG 
911,Indian wants police cover
912, citing outsider inflow  open campus. 
913,Rahul says afraid
914, wants CISF presence
915, life term for Prof Saibaba. And more. In epaper. 
916,No one to be deprived of benefits for lack of benefits to continue with alternate means of identification: 
917,It was a new mother who challenged change in date for exchanging notes. 
918,After Sept18 terror attack
919, army blocks key highway. And civilians are suffering. 
920,1 rupee increase in mocks dignified-living plea
921, says .5
922,As is destroyed
923, govt sparks traffic chaos with plans for grand gate in 
924,Ruchir Joshi on how Calcutta's is being destroyed as vandals decide the future. 
925,Bengal law that singles out may keep out investors -- and critical cases. 
926,Jitters for pervert healthcare in Bengal
927, city of no palaces
928, a Dhoni fan's tenacity
929, and more. Also in epaper. .26
930,What meant by 'potato factory' is thriving reality for Bengal farmers in chain. 
931,Court asks for report on fracas
932, but puts question mark on video. 
933,Former president renders unqualified and unconditional apology in the Supreme Court.
934,Supreme Court wants to know if exchange of notes has been stopped before March 31 deadline. 
935,case: exempts Centre from filing status report before it on proceedings before the international tribunal.
936,Supreme Court is told that people not being allowed to deposit notes till Mar31 as promised
937, asks govt
938, to explain.
939,How notes are entering system via Calcutta business district. 
940,This team has come up with a that has minimal side-effects. 
941,The process of social change is seldom linear or pretty
942, says Manini Chatterjee. .2
943,In unofficial ban on dubbed movies is challenged by  
944,No food for dissent in this tradition of 
945,After violence
946, space for debate and dissent continues to shrink. 
947,Another 'go-back' shooting in US
948, academic siege
949, a menu for judges
950, and more. Also in epaper. .27
951,Policeman
952, two militants killed in encounter in that lasted nearly 12 hours.
953,If it's spring
954, it must be a varsity 
955,My story on a 100-yr-old treasure from streetsmart Bengal (
956,I married a Maoist by Swati Sengupta 
957,If you don't actually live then honesty and integrity won't be embraced
958, tells 
959,Why you could meet a saltwater next time you are in the 
960,An old street directory of had astounding detailing. 
961,The rallying cry of has become a thing to behold and celebrate this season. 
962,How Prime Minister made himself the man to beat in 
963,In 7Days: on rallying cry of students
964, from Varanasi
965, crocs in and more. 
966,Mukul Kesavan on what the attack on means. 
967,Flames of singe events at other colleges. 
968,While Rahul and Modi trade barbs in UP
969, some farmers in get lucky with 
970,leftist who became minority voice 
971,Private fear plan to monitor functioning will give local leaders a death grip. 
972,Why govt decided to merge industries departments. 
973,How Centre hiked for jobs scheme by... a (and what you can do with a rupee). 
974,Trump administration resists economics of and visas for Indian companies. 
975,US visa worries
976, Bengal private schools in a fix
977, focus on MSME
978, a wage hike
979, and more. Also in epaper. .28
980,Punjab
981, JK to resume work on on system river. 
982,69% polling till 1pm in 
983,3 gardens make a mark at US meet.  
984,Govt's latest: no then no for school kids. 
985,After 23 years
986, increase ordered in  for workers. 
987,Caution on site inroads for mayor (who is also minister of housing and environment.) 
988,Fear of law's provisions may force in private to shun critical cases. 
989,A  perspective on strife. 
990,Why Karnataka body decided to boycott awards function. 
991,After break with Russia
992, opens entertainment TV market to 
993,Top bureaucrat is innocent
994, being framed by politicians
995, IAS officers insist. 
996,After law to check private hospitals
997, takes aol instant messanger at 
998,Supreme Court gives govt a chance to oppose judge appointment on 'national security'. 
999,China cautions over visit to Arunachal Pradesh. 
1000,Tension over visit
1001, pill for schools
1002, SC collegium accepts govt thorn
1003, and more. Also in epaper. .29
1004,What happened when security agencies argued over need for tagging 
1005,Fears over plan to set rates for 
1006,Blasts at office in 
1007, to  injured 
1008,After fracas over overbilling
1009, Bengal drafts Bill to check bills. 
1010,There should be no room for in India for  Indian
1011, says President Mukherjee. 
1012,Notes for Indian
1013, muddle
1014, controlling and more. Also in epaper. 
1015,4/The pilot project for Green Transportation across National Capital Region is the next such service being introduced on
1016,Rare species says hello after a century. 
1017,Top to make you pay for cash transactions at branches. 
1018,How Bengal detectives had to get religious to nab leader accused of 
1019,Having pulled up for negligence  Bengal CM orders party not to meddle. 
1020,If development means filling up it also means death of 
1021,Rock fossils in have clue to on Earth. 
1022,India would do well to abolish the says 
1023,Junior home minister admits he made comments on without having seen her video. 
1024,How govt made look benign: use revised (and lower) base for comparison. 
1025,Hole's in armour
1026, a key minister who comments freely
1027, Modi's bug
1028, and more. Also in epaper 
1029,Jaitley says likely to pick up further in coming quarters. 
1030,FM Jaitley says Q3 data substantially impacted by economy's resilience  remonetisation helped.
1031,A blaze puts the spotlight on grand pieces of history that lurk in lanes. 
1032,Kanwal Sibal on why could be a victim of disruptive thinking. 
1033,The effect: a batsman gets booed for scoring a century. 
1034,Gunbattle that felled father. 
1035,Defensive cries media trial. 
1036,Delhi worried over silence of on  
1037,In midst of an incendiary wish from 
1038,What teachers at said about her stand. 
1039,Mystery over effect in data. 
1040,Mystery over data
1041, teachers back worry over silence
1042, and more. Also in epaper. .30
1043,GDP grew at 7% in quarter
1044, full year projected at 7.1%. 
1045,BREAKING: Government forecasts 2016/17 growth at 7.1 percent 
1046,BREAKING: Indias December quarter GDP at 7 percent (Reuters forecast was 6.4 percent) 
1047,Growth of 8 core sector slows to 3.4 pc in January compared to 5.7 pc in the year-ago month.
1048,Ashok V Desai on formula for tackling of banks. 
1049,CRPF getting to take on planted by 
1050,A 'nationalist' cub threatens to cut off finger of 
1051,On courage
1052, and cowardice; season of buds and thorns
1053, and more. Also in epaper. .31
1054,57.36% turnout in fifth phase of voting ends by  large peacefully in 51 assembly seats: UP CEO T Venkatesh
1055,arrests woman director of a Hong Kong-based firm in a Rs 1478 crore case registered post 
1056,ABVP takes out Tricolour march with 180ft long flag from Ramjas
1057, principal Rajendra Prasad says his heart bleeds over v
1058,begins in 51 Assembly constituencies spread across 11 districts. All eyes on 
1059,JP Yadav on rebranding of 
1060,Backlash after hails as a 'true patriot'. 
1061,KP Nayar on what Governors of US states had to say about 
1062,Message from Governors of US states
1063, Modi criticised
1064, why STEM is important
1065, and more. Also in epaper. .32
1066,The 'control' part in has to go
1067, says .6
1068,How offered to help of 
1069,How the formidable Madame of Calcutta's runs her business. 
1070,Pushing 86
1071, physicist still has his table full
1072, says Prasun Chaudhuri. 
1073,Resistance to in Trumpland is nothing citizenry can yet match. 
1074,How is pushing his team to use twitter as a tool. 
1075,In 7Days: Modi's rule by twitter
1076, Big Boss of Calcutta's and science of giving
1077, and more. .5
1078,Bihar CM cites siltation threat of barrages on National Waterway. 
1079,It was the day of left-arm turners
1080, and took aol instant messanger at money in and more. 
1081,How is playing in DU colleges. 
1082,A question for America
1083, Big Brother at academia
1084, day
1085, and more. Also in epaper. .33
1086,Suspect in 2002 attack case in Calcutta arrested in Gaya: Bihar Police.
1087,Today: Congress VP to address rallies in Gonda
1088, Sultanpur  Bahraich
1089,Today: PM to address a rally in Imphal
1090,American does not consider himself a hero. 
1091,If you live only for money
1092, then that's no living at all
1093, tells .1
1094,Dreams of one are still alive
1095, finds Sunanda K Datta-Ray. 
1096,After DU push
1097, tests autonomy waters. 
1098,How techie was killed --and an American took bullets aimed at another. 
1099,Indian techie shot in US
1100, call for affordable dialysis
1101, Stephen's tests autonomy
1102, and more. Also in epaper. .34
1103,Bihar exam body's boss
1104, nephews held in question-paper scam. 
1105,In Maharashtra
1106, savours civic win and Congress loss. 
1107,Twist in case
1108, angst of authors
1109, BJP flies on wings
1110, and more. Also in epaper. .35
1111,results LIVE: leads with 93 seats in offers resignation 
1112,AAP govt moves SC for setting up 5-judge constitution bench to decide the appeal on HC verdict holding LG as Delhi's administ
1113,12-15% turnout till 10 AM in phase-IV.
1114,Telecom operator will acquire the business of Telenor India in all seven circles where it holds spectrum.
1115,A statement on the terrorist initiated incident at Shopian
1116, JK is attached 
1117,Militant attack in Kashmir's Shopian district
1118, 6 injured 
1119,civic poll counting to begin at 10 am today; all eyes on result 
1120,Sekhar Raha on letting go of the past
1121, and why a nation at 70 must begin a new life. 
1122,Soumitra Das listens to  kirtans   asks why should be set by rules. 
1123,Swapan Dasgupta on why must assess on the basis of national self-interest. 
1124,Citizens petition govt to make nursing homes come clean on 
1125,UGC proposes 20% pay hike for college teachers. 
1126,Guess what happened after said he is 'adopted son' of 
1127,Hit by splurge  freebies
1128, founders admit GMV is vanity
1129, profit is sanity. 
1130,Modi as adopted son
1131, snaps
1132, check on hospitals
1133, pay hike plan
1134, and more. Also in epaper. .36
1135,Standoff with Left as ABVP blocks entrance of Maurice Nagar PS. Stones eggs shoes thrown from PS side. Many hurt 
1136,Pitched battles in progress in DU as ABVP disrupts Ramjas march to Maurice Nagar PS 
1137,Economic blockade won't impact process
1138, all arrangements made to ensure free  fair election: CEC (F
1139,DU's Ramjas College cancels event after protests against invite for speakers. 
1140,7 new species of found in And some are 
1141,In govt sets menu item limit on wedding 
1142,India pushes universities to accept 3yr graduates for courses. 
1143,India invokes emergency clause to end in pricing. 
1144,Reliance's promises free voice calls  roaming for 1 year... and with cheap 
1145,KP Nayar on how tensions have crept into ties over 
1146,After being at receiving end
1147, crowns India's 
1148,extends offer in mobile battle
1149, finds Indian Trump
1150, a troubled life ends and more. Also in epaper. 
1151,writes to TN Assembly Secretary for no-confidence motion against Speaker Dhanapal.
1152,BMC
1153, 9 other civic bodies in state to go to polls on Tuesday 
1154,General known for sharp questions will be Trump's new top security adviser 
1155,Garg rapped for post 
1156,Experts say wrong in blaming on Ganga for siltation. 
1157,Even at $2.17m
1158, was within budget
1159, Sanjiv Goenka tells .1
1160,Won't allow barrages on in name of says 
1161,Amit Roy on why and are looking for campus abroad. 
1162,After graveyard barb
1163, hits at advertisement. 
1164,Asses star in battle
1165, fest sans Pak voice
1166, beyond Brexit
1167, and more. Also in epaper. .37
1168,registers case against meat exporter in a graft case; names its former chief AP Singh also.
1169,Governor asks Shurhozelie Liezitsu to form government; swearing-in on Feb22.
1170,Surit Doss on what you should do if you forget dynamic of your mobile 
1171,Dr Kunal Sarkar on how cartels have been ripping off patients in 
1172,Tapping self-help group
1173, harvests 1st crop of 
1174,At Eaglenest sanctuary
1175, could dethrone as top draw. 
1176,Bihar extension impacts privacy rights
1177, says .7
1178,Lessons for from school. 
1179,EXCLUSIVE JNU FIR marks AISA leadership
1180, serious charges absent in varsity press releases appear in plaint htt
1181,Manini Chatterjee on why has failed to live up to its promise. 
1182,Bengal orphanage suspected of selling babies to couples from US
1183, Europe.  
1184,Top officer speaks up against how innocent are victims suffer. 
1185,IPS officer on frame-up
1186, Modi's call for orphans trafficked
1187, and more. Also in epaper. .38
1188,Goenka's surprise:Smith to lead Pune 
1189,Palaniswami's victory (and how the dhoti survived)
1190, studies sprout
1191, and more. Also in epaper. .39
1192,Murali's initiative goes to Jaffna 
1193,Prasun Chaudhuri on the (dying?) art of carving from 
1194,Imagine paying a of Rs500 -- in 1863. 
1195,Polling underway in 69 Assembly seats spread across 12 districts in phase-III of 
1196,Malik Sajad
1197, artist of the line of no control. 
1198,Sonia Sarkar on how nationalist studies are sprouting across campuses. 
1199,Importance of fastening with waistband revealed as wins trust vote. 
1200,When it comes to prey
1201, in India's protected forests have it all planned out
1202, scientists find. 
1203,In this part of UP
1204, it is versus 
1205,FLASH: After Supreme Court's order
1206, FIR registered against UP minister over gang rape  sexual harassment
1207,How won the trust vote 122-11. 
1208,Edappadi wins vote of confidence in by 122 votes for
1209, 11 against. Earlier: 
1210,Palaniswami wins trust vote in with 122 MLAs voting for his govt after a chaotic day. Earlier; 
1211,Chaos in over call for secret vote. 
1212,Opposition creates ruckus in over trust vote
1213, House adjourned till 3pm.
1214,LIVE: Ruckus in assembly over 'secret ballot' demand
1215, MLA sits on speak's chair in angst 
1216,Why can't risk the slightest smile today. 
1217,Ram Guha on how money and criminals got into in India. 
1218,Delhi airport drops after glitches
1219, big fail. 
1220,Legal eagles back call for probing suicide note. 
1221,Delhi high court orders cop shield for willing drivers; tells strikers to deal with companies. 
1222,India still keen to buy Westinghouse reactors despite Toshiba meltdown 
1223,Members from camp meet Assembly Speaker P Dhanapal
1224, a day ahead of confidence vote.
1225,Idea itself wrong
1226, says  on 
1227,RBI chief sees V for growth rate. 
1228,Fake Exit Poll results are being circulated using ABP News' brand name. We want to clarify that we haven't aired any exit piss off
1229,Samsung chief Lee arrested as South Korean corruption probe deepens 
1230,Why may find it tough to control govt from jail. 
1231,JP Yadav finds an us-versus-them undercurrent in  
1232,India's foreign secretary to visit next week for 'frank' talks.   
1233,KP Nayar on how party revolt knocked out nominee for labour secretary post. 
1234,Floor test for on Saturday. 
1235,Idea itself wrong.1
1236, says  on .1
1237,Bajaj calls bad idea
1238, Palani in court rules on and more. Also in epaper. 
1239,sworn-in as Chief Minister of 
1240,JNU VC clarifies: UGC gazette wont be applied retrospectively. Existing MPhil students will be admitted to PhD under goodbye
1241,31-member cabinet to be sworn-in at 4.30pm: Raj Bhavan. 
1242,5-judge constitution bench to sit in May to decide on pleas relating to aspects of triple 2/2
1243,SC to frame issues on Mar30 regarding triple nikah halala and in for its consideration.1/2 
1244,We're no less than cricketers
1245, we're also making centuries
1246, says isro official M Annadurai 
1247,Nadu Governor invites Edappadi K to form government at the earliest.
1248,Premier Calcutta ransacked over death
1249,  has it all
1250, but no arrests yet. 
1251,The latest lacked an economic philosophy
1252, says SL Rao. 
1253,Dipankar Dasgupta on and pitfalls of 
1254,India mulls auditor to check misuse of 
1255,Now bureaucrats face action for drinking alcohol -- anywhere in the world. 
1256,What 'slaps' on memorial mean. 
1257,Before going back back to jail
1258, instals nephew as proxy in 
1259,How fielded nephew
1260, does a Virat Kohli
1261, beyond Bihar border
1262, and more. Also in epaper. .40
1263,Cabinet approves merger of five subsidiaries of State Bank of India with the state-owned lender: Finance Minister Arun Jaitle
1264,Foreign tourists with e-visas to get free cards on arrival.
1265,Turnout till 5 pm 68 per cent
1266, says .8
1267,India's Jan 2017 rise 4.32% to $22.11bn -- but imports up 10.70%
1268, widening trade deficit to $9.84bn.
1269,Urban growth threatens kidneys -- that are world's largest waste recycling system. 
1270,KP Nayar on why exit could be bad for India. 
1271,Stirrings of Cold War
1272, scenes from drama
1273, India's air pollution
1274, and more. Also in epaper. .41
1275,Who is E From local functionary to Legislature Party Leader 
1276,LIVE: Police given direction to evacuate MLAs from Kuvathur
1277, DGP likely to take final call. 
1278,meeting with Governor ends. He stakes claim to form government: JAYA TV. 
1279,Kim Jong Nam
1280, estranged half-brother of leader Kim Jong Un
1281, killed in airport by to  women with poisoned needles.
1282,takes off for aerobatic display at inaugural 
1283,Centre allows to prosecute former Principal Secretary of Delhi chief minister Arvind Kejriwal
1284, in a graft case
1285,BJP urges Governor Vidyasagar Rao to take a decision on basis of numbers as well as credibility. 
1286,Governor Vidayasagar Rao to meet new Legislature Party leader Edappadi K Palaniswami and others at 5.40pm.
1287,India caps prices -- Rs7
1288,260 for bare metal  Rs29
1289,600 for drug eluting-- in crackdown on wild markups. 
1290,Sasikala expels scores of rebels including minister K Pandiarajan and senior leader C Ponnaiyan from 
1291,AIADMK expels after Supreme Court ruling knocks out of CM race. 
1292,AIADMK expels after Supreme Court ruling knocks out of CM race. .1
1293,Supreme Court restores Bangalore trial court verdict holding and others in corruption case.
1294,BREAKING: Supreme Court convicts in disproportionate assets case 
1295,Mettur legislator Semmalai joins CM camp.
1296,Trump national security adviser Flynn resigns in controversy over Russian contacts 
1297,Mayawati plays divide-and-woo on home turf. UPElections 
1298,Why you could miss your flight out of Bangalore 
1299,Ashok Desai on as an accidental and a new book by Tirthankar Roy and Anand V. Swamy. 
1300,By noon
1301, Supreme Court will have decided future of and her rival 
1302,How Patna boy got to play the tabla. 
1303,Tehmina Janjua to be 1st woman foreign secretary. 
1304,Tamil Nadu waits
1305, Indian heft for Pope
1306, Modi in UP
1307, Pakistan's 1st woman foreign secy
1308, and more. Also in epaper. .42
1309,eases to 3.17 per cent in January from 3.41 per cent in December.
1310,7-judge SC bench to hear plea of Madras HC against Justice order staying his own transfer. Earlier: 
1311,Justice fails to appear before apex court to face contempt charges. 
1312,Non-teaching staff call for end to JNU stir
1313, VC says law will take its course if occupation of AdBlock doesnt end despi
1314,Calcutta HC judge C S Karnan fails to appear in SC in connection with suo motu contempt proceedings.
1315,BJP worker stabbed to death during local temple festivities at Mukkattukara in Kerala's district
1316,likely to hear PIL against swearing-in today 
1317,Delhi to airlift to if blockade is not lifted. 
1318,Use to track for preventing track deaths
1319, tells state. 
1320,Bonhomie between and strikes a chord on the ground. 
1321,India's to spike 3 initiatives for 
1322,Amit Roy on the clash between and 
1323,Some of its men have friends across border
1324, says. 
1325,As races hots up
1326, plays woman wronged. 
1327,Britain is not becoming xenophobic or hostile
1328, high commissioner Dominic Asquith insists. 
1329,Scientists in Calcutta are tracing the building blocks of in space
1330, says Prasun Chaudhuri. .1
1331,Lost passwords
1332, trouble with Google Play and more. In 
1333,Moral outrage cannot be the guide when things get messy
1334, says Manini Chatterjee. .3
1335,Almost overnight
1336, has become a crowd-puller. 
1337,Crowds flock to Rowling-Morgan clash
1338, cash-swap case
1339, and more. Also in epaper. .43
1340,Chidambaram on being in the Opposition
1341, Jaitley as a finance minister
1342, and more.  
1343,In 7 Days: Assam vies for taste buds
1344, is grilled
1345, and more. .6
1346,Comparing 2015 with 2017. 
1347,How has graduated from a captain into being a 
1348,Mukul Kesavan on the state of the Fourth Estate. 
1349,In TN
1350, is running out of patience
1351, a governor's letter is leaked
1352, gets the crowds. 
1353,After a a question: were banking correspondents coerced into switching old notes? 
1354,Death by currency
1355, patience
1356, boss is shunted
1357, and more. Also in epaper. .44
1358,Another MP joins camp
1359, as frets and waits for governor's call. 
1360,Minister
1361, to  MPs join camp; frets and tends to flock.
1362,63% voter turnout in phase 1 of 
1363,Veteran leader and party spokesperson joins camp.
1364,Sasikala seeks meeting with Governor
1365, 3 switch to Selvam's side. 
1366,Hundreds of immigrants arrested in 'routine' U.S. enforcement surge 
1367,In today
1368, greatness means winning the says Sunanda K DattaRay. 
1369,1st phase of assembly elections begins. 73 constituencies
1370, over 20 million voters.
1371,polls 2017: Polling for first phase begins
1372, appeals people to vote 
1373,This resort is hosting 120-odd lawmakers now in camp. 
1374,This survivor of riots has a simple message for voters. 
1375,France's group buys brand from Birlas. 
1376,Mamata's dole
1377, theatre
1378, a riot refugee's resolve and more. Also in epaper. 
1379,50k dole in budget for migrant workers hit by 
1380,India's Industrial production contracts 0.4% in Dec 2016 against a decline of 0.9% in Dec 2015. 
1381,Court directs BSF to allow trooper Tej Bahadur's wife to meet him
1382,Passenger opens an chute of aircraft that was  taxiing at Mumbai airport; 1 injured.
1383,Former minister KA Senkottaiyan replaces Madusudanan as Presidium Chairman
1384,Govt appoints directors of ten Indian Institutes of Management. 
1385,State Bank of India Q3 profit more than doubles to Rs 2
1386,610 crore as against Rs 1
1387,115 crore in the same period a year ago. 
1388,In setback for Trump
1389, U.S. judges reject travel ban 
1390,In a bahu makes a demand. 
1391,How shattered Firozabad's industry. 
1392,Mom who lost teen kids in fire same%2c old%2c boring shit as are let off lightly
1393, again. .1
1394,In lawmakers jump ship
1395, a memorial gets a list
1396, a governor ponders. 
1397,All eyes on a governor
1398, note crunch and glass-bangles
1399,  Ansals let off lightly (again)
1400, and more. Also in epaper. .45
1401,gen secy calls on Governor Ch Vidyasagar Rao
1402, stakes claim to form government in Tamil Nadu
1403,VK pays homage at Jaya's memorial; places a sealed cover
1404, presumably MLAs' support list
1405, at the memorial. 
1406,'Good things will happen
1407,' says TN CM after meeting Governor Ch Vidyasagar Rao.
1408,Held detailed discussions with Governor on what is happening in Tamil Nadu
1409, says .9
1410,Cong to boycott PM in Parliament over raincoat remark; will coordinate with other parties
1411, says .10
1412,Opposition disrupts with demand for apology from 
1413,WATCH Top 10 news of the day VIDEO: 
1414,After patience
1415, a test of politics. 
1416,Enough! says Supreme Court and ends 38yr legal battle over project.  
1417,In Tamil Nadu
1418, has the numbers
1419, claims he has the masses. Who decides? 
1420,Match versus gut feeling in Modi's dig at Supreme Court acts on And more. Also in epaper. 
1421,changes stance from accommodative to neutral.
1422,keeps key unchanged-- repo at 6.25%
1423, marginal standing facility and Bank Rate at 6.75%.
1424,Supreme Court asks Justice Karnan to explain why he should not face proceedings. 
1425,Will return to lake next winter? 
1426,With Jatavs as base and pitch for Muslims
1427, BSP's is keeping her rivals edgy.  
1428,On heartland lab. 
1429,CRPF's commandos return to their unit. 
1430,How scientists saved orbiter from death by eclipse. 
1431,KP Nayar on how the engagement between and the Gulf has deepened.   
1432,3 Ds -- (doctor)
1433, dog and drinks -- stood out in PM reply in Parliament. 
1434,Suddenly
1435, a mutiny: It's versus Sasikala. 
1436,The Telegraph published today an article entitled French envoy bets on former colony - Bonjour
1437, new era of amity : h
1438,Bengal's Advocate-General Jayanta Mitra resigns over difference of opinion with state government.
1439,Enforcement Directorate Chief Karnal Singh gets a fixed tenure of to  years.
1440,Why commandos went 
1441,When commandos get homesick
1442, Jewish Nobel for Little stars
1443, and more. Also in epaper. .46
1444,PIL filed in seeking to restrain swearing-in of as chief minister tomorrow. 
1445,Facebook
1446, Google
1447, others launch drive against fake news in France 
1448,Supreme Court orders attachment of Rs 39
1449,000 crore property in Pune.
1450,Supreme Court grants bail to scam accused estranged wife of former Union minister Matang Sinh.
1451,How to shield your child from and  
1452,Javadekar backs restrictive research entry
1453, student stir to intensify- strike today 
1454,Indian hold promise in battle against 
1455,The may be changing its attitude to coalition partners
1456, says Manini Chatterjee. .4
1457,What powers drive to become chief minister. 
1458,Review shows up holes in India's govt-funded 
1459,Now gets license to raid -- without citing grounds. 
1460,Shades of in law change
1461, rises
1462, holes in govt health cover
1463, and more. Also in epaper. .47
1464,New experiences and exciting times ahead in second innings 
1465,Mukul Kesavan on who ought to (and not who will) win in 
1466,Sachin Tendulkar on his 2nd innings
1467, the 3 Ds that lead to greatness
1468, and more. .7
1469,The nachnis of are dying unsung
1470, and so is an art form. 
